time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
2020-01-10 15:00:00,950.0,0.0,26.8,24,5.9,0.0
2020-01-10 16:00:00,789.0,0.0,26.7,24,6.24,0.0
2020-01-10 17:00:00,585.0,0.0,25.8,26,6.68,0.0
2020-01-10 18:00:00,360.0,0.0,24.2,30,6.71,0.0
2020-01-10 19:00:00,142.0,0.0,22.0,37,6.22,0.0
2020-01-10 20:00:00,8.0,0.0,19.7,44,6.28,0.0
2020-01-10 21:00:00,0.0,0.0,17.9,52,5.97,0.0
2020-01-10 22:00:00,0.0,0.0,16.5,58,5.63,0.0
2020-01-10 23:00:00,0.0,0.0,15.5,63,5.32,0.0
2020-01-11 00:00:00,0.0,0.0,14.6,68,5.31,0.0
2020-01-11 01:00:00,0.0,0.0,14.0,71,5.2,0.0
2020-01-11 02:00:00,0.0,0.0,13.4,75,5.11,0.0
2020-01-11 03:00:00,0.0,0.0,12.6,77,5.14,0.0
2020-01-11 04:00:00,0.0,0.0,12.4,78,5.1,0.0
2020-01-11 05:00:00,0.0,0.0,12.3,79,5.0,0.0
2020-01-11 06:00:00,33.0,0.0,12.9,76,5.2,0.0
2020-01-11 07:00:00,209.0,0.0,15.0,67,5.95,0.0
2020-01-11 08:00:00,435.0,0.0,17.7,57,6.41,0.0
2020-01-11 09:00:00,656.0,0.0,20.5,47,6.22,0.0
2020-01-11 10:00:00,849.0,0.0,23.3,38,5.89,0.0
2020-01-11 11:00:00,997.0,0.0,25.8,29,5.46,0.0
2020-01-11 12:00:00,1089.0,0.0,28.0,21,5.09,0.0
2020-01-11 13:00:00,1116.0,0.0,29.7,16,4.88,0.0
2020-01-11 14:00:00,1074.0,0.0,30.9,13,4.48,0.0
2020-01-11 15:00:00,967.0,0.0,31.9,12,3.97,0.0
2020-01-11 16:00:00,803.0,0.0,32.2,11,3.49,0.0
2020-01-11 17:00:00,597.0,0.0,31.9,11,3.23,0.0
2020-01-11 18:00:00,367.0,0.0,31.3,12,2.73,0.0
2020-01-11 19:00:00,145.0,0.0,29.9,14,1.8,0.0
2020-01-11 20:00:00,9.0,0.0,27.5,16,1.97,0.0
